On%20the%20Beaufort%20Scale%20of%20wind%20force%2C%20what%20wind%20name%20is%20given%20to%20number%208%3F,Gale
What%20is%20the%20chemical%20makeup%20of%20water%3F,H20
What%20is%20the%20name%20for%20the%20auditory%20illusion%20of%20a%20note%20that%20seems%20to%20be%20rising%20infinitely%3F,Shepard%20Tone
Which%20of%20these%20stars%20is%20the%20largest%3F,UY%20Scuti
What%20is%20the%20name%20of%20the%20cognitive%20bias%20wherein%20a%20person%20with%20low%20ability%20in%20a%20particular%20skill%20mistake%20themselves%20as%20being%20superior%3F,Dunning-Kruger%20effect
Which%20of%20the%20following%20is%20NOT%20a%20word%20used%20to%20describe%20an%20earthquake%3F,Drop-slide
Which%20horizon%20in%20a%20soil%20profile%20consists%20of%20bedrock%3F,R
On%20which%20mission%20did%20the%20Space%20Shuttle%20Columbia%20break%20up%20upon%20re-entry%3F,STS-107
How%20old%20is%20the%20universe%3F,13.8%20Billion%20Years
What%20does%20the%20term%20%22isolation%22%20refer%20to%20in%20microbiology%3F,The%20separation%20of%20a%20strain%20from%20a%20natural%2C%20mixed%20population%20of%20living%20microbes
Who%20made%20the%20discovery%20of%20X-rays%3F,Wilhelm%20Conrad%20R%C3%B6ntgen
Which%20is%20the%20most%20abundant%20element%20in%20the%20universe%3F,Hydrogen
Which%20part%20of%20the%20body%20does%20glaucoma%20affect%3F,Eyes
Celiac%20Disease%20is%20a%20disease%20that%20effects%20the%20heart%2C%20causing%20those%20effected%20to%20be%20unable%20to%20eat%20meat.,False
What%20is%20the%20elemental%20symbol%20for%20mercury%3F,Hg
What%20polymer%20is%20used%20to%20make%20CDs%2C%20safety%20goggles%20and%20riot%20shields%3F,Polycarbonate
Which%20of%20these%20chemical%20compounds%20is%20NOT%20found%20in%20gastric%20acid%3F,Sulfuric%20acid
How%20many%20legs%20is%20it%20biologically%20impossible%20for%20a%20centipede%20to%20have%3F,100
Which%20of%20the%20following%20is%20NOT%20a%20passive%20electrical%20component%3F,Transistor
Deuterium%20is%20an%20isotope%20of%20which%20element%3F,Hydrogen
What%20is%20the%20hottest%20planet%20in%20the%20Solar%20System%3F,Venus
