Who%20won%20the%202016%20Formula%201%20World%20Driver%27s%20Championship%3F,Nico%20Rosberg
In%20baseball%2C%20how%20many%20fouls%20are%20an%20out%3F,0
Which%20basketball%20team%20has%20attended%20the%20most%20NBA%20grand%20finals%3F,Los%20Angeles%20Lakers
What%20was%20the%20final%20score%20of%20the%20Germany%20vs.%20Brazil%202014%20FIFA%20World%20Cup%20match%3F,7%20-%201
During%20Wimbledon%2C%20spectators%20in%20the%20grounds%20can%20buy%20the%20tennis%20balls%20that%20have%20been%20used%20in%20matches.,True
Skateboarding%20was%20included%20in%20the%202020%20Summer%20Olympics%20in%20Tokyo.,True
Which%20portuguese%20island%20is%20soccer%20player%20Cristiano%20Ronaldo%20from%3F,Madeira
In%20what%20sport%20does%20Fanny%20Chmelar%20compete%20for%20Germany%3F,Skiing
The%20Los%20Angeles%20Dodgers%20were%20originally%20from%20what%20U.S.%20city%3F,Brooklyn
Which%20two%20teams%20played%20in%20Super%20Bowl%20XLII%3F,The%20New%20York%20Giants%20%26%20The%20New%20England%20Patriots
Who%20won%20the%20UEFA%20Champions%20League%20in%202016%3F,Real%20Madrid%20C.F.
Who%20is%20Manchester%20United%27s%20top%20premier%20league%20goal%20scorer%3F,Wayne%20Rooney
Which%20team%20was%20the%202014-2015%20NBA%20Champions%3F,Golden%20State%20Warriors
Which%20team%20won%202014%20FIFA%20World%20Cup%20in%20Brazil%3F,Germany
What%20is%20the%20name%20of%20Manchester%20United%27s%20home%20stadium%3F,Old%20Trafford
Which%20German%20sportswear%20company%27s%20logo%20is%20the%20%27Formstripe%27%3F,Puma
The%20AHL%20affiliate%20team%20of%20the%20Boston%20Bruins%20is%20named%20what%3F,Providence%20Bruins
Which%20soccer%20team%20won%20the%20Copa%20Am%C3%A9rica%202015%20Championship%20%3F,Chile
What%20is%20the%20nickname%20of%20Northampton%20town%27s%20rugby%20union%20club%3F,Saints
Which%20car%20manufacturer%20won%20the%202016%2024%20Hours%20of%20Le%20Mans%3F,Porsche
Which%20year%20was%20the%20third%20Super%20Bowl%20held%3F,1969
When%20was%20the%20FC%20Schalke%2004%20founded%3F,1904
Who%20is%20often%20called%20%22the%20Maestro%22%20in%20the%20men%27s%20tennis%20circuit%3F,Roger%20Federer
Josh%20Mansour%20is%20part%20of%20what%20NRL%20team%3F,Penrith%20Panthers
